File ID,Data Split,Original English,English,Hindi
p225_012,train,Throughout the centuries people have explained the rainbow in various ways.,throughout the centuries people have explained the rainbow in various ways.,थ्रूआउट द सेंचुरिज़ पीपल हैव एक्सप्लेन्ड द रेनबो इन वेरिअस वेज.
p225_035,train,A hostile bid is prevented for another nine months.,a hostile bid is prevented for another nine months.,अ हॉस्टाइल बिड़ इस प्रिवेंटेड फॉर अनअदर नाइन मन्थ्स.
p225_044,train,"It was served by sheriff officers, not by the council.","it was served by sheriff officers, not by the council.","इट वज़ सर्व्ड बाय शेरिफ ऑफिसर्स, नॉट बाय द काउंसिल."
p225_051,train,We are committed to the ban.,we are committed to the ban.,वी आर कमिटेड टू द बैन.
p225_111,train,It isn't a happy memory.,it is not a happy memory.,इट इस नॉट अ हैपी मेमरी.
p225_126,train,The squad is too small.,the squad is too small.,द स्क्वाड इस टू स्मॉल.
p225_151,train,Nothing has been put into action.,nothing has been put into action.,नथिंग हैस बीन पुट इंटू ऐक्शन.
p225_238,train,Paterson can afford to be generous.,paterson can afford to be generous.,पैटर्सन कैन अफोर्ड टू बी जेनरस.
p225_274,test,We have not reached the point of no return.,we have not reached the point of no return.,वी हैव नॉट रीच्ट द पॉइंट अव नो रिटर्न.
p225_277,train,It depends on the internal discussions in the Ministry of Defence.,it depends on the internal discussions in the ministry of defense.,इट डिपेंड्स आन दि इंटरनल डिस्कशन्स इन द मिनिस्ट्री अव डिफेंस.
p225_320,train,We have a good healthy debate.,we have a good healthy debate.,वी हैव अ गुड हेल्दी डिबेट.
p225_322,train,Funding for the science centre has come from a number of sources.,funding for the science center has come from a number of sources.,फंडिंग फॉर द साइंस सेंटर हैज़ कम फ्रम अ नंबर अव सोर्सेस.
p225_329,train,There is no other solution to congestion in Edinburgh.,there is no other solution to congestion in edinburgh.,थेर इस नो अदर सलूशन टू कान्जेस्चन इन एडिनबुरघ.
p225_363,train,There is The Beautiful Game to write.,there is the beautiful game to write.,देर इस द ब्यूटिफ़ल गेम टू राइट.
p226_037,train,It is a matter of the utmost concern to the Allies.,it is a matter of the utmost concern to the allies.,इट इस अ मैटर अव दि अटमोस्ट कन्सर्न टू दि ऐलाइज़.
p226_039,train,It has failed.,it has failed.,इट हैज़ फेल्ड.
p226_046,train,Failure to comply with the order is likely to result in prison.,failure to comply with the order is likely to result in prison.,फैल्यर तू कम्प्लाइ विथ दि और्डर इस लाइकली तू रिजल्ट इन प्रिजन.
p226_059,train,She's a spy!,she's a spy,शीज़ अ स्पाई
p226_068,train,Scotland had great assets.,scotland had great assets.,स्कॉटलैंड हैड ग्रेट ऐसेट्स.
p226_094,train,Every time I play I do not understand their reaction.,every time i play i do not understand their reaction.,एवरी टाइम आई प्ले आई डू नॉट अंडरस्टैंड देर रिएक्शन.
p226_108,train,"That time is not now, however.","that time is not now, however.","थैट टाइम इस नाट नाउ, हाउएवर."
p226_121,train,Maybe this battle has been.,maybe this battle has been.,मेबी दिस बैटल हैज़ बीन.
p226_124,train,This is the first big idea of the Scottish Parliament election.,this is the first big idea of the scottish parliament election.,दिस इस द फर्स्ट बिग आइडिया अव द स्कॉटिश पार्लियमेंट इलेक्शन.
