File ID,Data Split,Original English,English,Hindi,Korean
arctic_a0001,train,"Author of the danger trail, Philip Steels, etc.","author of the danger trail, philip steels, etc.","ऑथर अव द डेंजर ट्रेल, फिलिप स्टील्स, एट्सेट्रा.","어서 어브 더 데인저 트레일, 필립 스틸스, 엣세트라."
arctic_a0002,train,"Not at this particular case, Tom, apologized Whittemore.","not at this particular case, tom, apologized whittemore.","नॉट ऐट दिस पर्टिक्युलर केस, टॉम, अपालजाइज्ड विटिमोर.","낫 앳 디스 퍼티큘러 케이스, 탐, 어폴러자이즈드 위트모어."
arctic_a0003,train,For the twentieth time that evening the two men shook hands.,for the twentieth time that evening the two men shook hands.,फॉर द ट्वेंटीएथ टाइम दैट ईवनिंग द टू मेन शुक हैंड्स.,포어 더 트웬티엣 타임 댓 이브닝 더 투 멘 슉 핸즈.
arctic_a0004,train,"Lord, but I'm glad to see you again, Phil.","lord, but i am glad to see you again, phil.","लॉर्ड, बट आई ऐम ग्लैड टू सी यू अगेन, फिल.","로드, 벗 아이 앰 글래드 투 씨 유 어겐, 필."
arctic_a0005,train,Will we ever forget it.,will we ever forget it.,विल वी एवर फरगेट इट.,윌 위 에버 포겟 잇.
arctic_a0006,train,"God bless 'em, I hope I'll go on seeing them forever.","god bless 'em, i hope i will go on seeing them forever.","गॉड ब्लेस एम, आई होप आई विल गो ऑन सीइंग देम फॉरएवर.","갓 블레스 엠, 아이 호프 아이 윌 고 온 씨잉 뎀 포에버."
arctic_a0007,train,And you always want to see it in the superlative degree.,and you always want to see it in the superlative degree.,ऐंड यू ऑलवेज़ वांट टू सी इट इन द सुपरलैटिव डिग्री.,앤드 유 올웨이즈 원트 투 씨 잇 인 더 수펄러티브 디그리.
arctic_a0008,train,"Gad, your letter came just in time.","gad, your letter came just in time.","गैड, योर लेटर केम जस्ट इन टाइम.","갯, 유어 레터 케임 저스트 인 타임."
arctic_a0009,train,"He turned sharply, and faced Gregson across the table.","he turned sharply, and faced gregson across the table.","ही टर्न्ड शार्पली, ऐंड फेस्ड ग्रेगसन अक्रॉस द टेबल.","히 턴드 샤플리, 앤드 페이스드 그렉슨 어크로스 더 테이블."
arctic_a0010,train,I'm playing a single hand in what looks like a losing game.,i am playing a single hand in what looks like a losing game.,आई ऐम प्लेइंग अ सिंगल हैंड इन वट लुक्स लाइक अ लूजिंग गेम.,아이 앰 플레잉 아 싱글 핸드 인 왓 룩스 라이크 아 루징 게임.
arctic_a0011,train,If I ever needed a fighter in my life I need one now.,if i ever needed a fighter in my life i need one now.,इफ आई एवर नीडेड अ फाइटर इन माइ लाइफ आई नीड वन नाउ.,이프 아이 에버 니디드 아 파이터 인 마이 라이프 아이 니드 원 나우.
arctic_a0012,dev,Gregson shoved back his chair and rose to his feet.,gregson shoved back his chair and rose to his feet.,ग्रेगसन शव्ड बैक हिज चेयर ऐंड रोज़ टू हिज फीट.,그렉슨 셔브드 백 히즈 체어 앤드 로즈 투 히즈 피트.
arctic_a0013,train,"He was a head shorter than his companion, of almost delicate physique.","he was a head shorter than his companion, of almost delicate physique.","ही वज़ अ हेड शॉर्टर धन हिज कम्पैनियन, अव ऑलमोस्ट डेलिकेट फिजीक.","히 워즈 아 헤드 쇼터 댄 히즈 컴패니언, 어브 올모스트 델리켓 피지크."
arctic_a0014,train,"Now you're coming down to business, Phil, he exclaimed.","now you are coming down to business, phil, he exclaimed.","नाउ यू आर कमिंग डाउन टू बिजनेस, फिल, ही एक्सक्लेम्ड.","나우 유 아 커밍 다운 투 비즈니스, 필, 히 엑스클레임드."
arctic_a0015,train,It's the aurora borealis.,it's the aurora borealis.,इट्स दि औरोरा बोरेलिस.,잇츠 디 오로라 보리앨리스.
arctic_a0016,train,"There's Fort Churchill, a rifle-shot beyond the ridge, asleep.","there's fort churchill, a rifle-shot beyond the ridge, asleep.","देर्स फॉर्ट चर्चिल, अ राइफल-शॉट बियॉन्ड द रिज, अस्लीप.","데어즈 포트 처칠, 아 라이플샷 비욘드 더 리지, 어슬립."
arctic_a0017,train,From that moment his friendship for Belize turns to hatred and jealousy.,from that moment his friendship for belize turns to hatred and jealousy.,फ्रॉम धैट मोमेंट हिज फ्रेंडशिप फॉर बेलीज़ टर्न्स टू हेट्रेड एंड जेलसी.,프럼 댓 모먼트 히즈 프렌드십 포어 벨리즈 턴즈 투 헤이트리드 앤드 젤러시.
arctic_a0018,train,There was a change now.,there was a change now.,देयर वस अ चेंज नाउ.,데어 워즈 아 체인지 나우.
arctic_a0019,train,"I followed the line of the proposed railroad, looking for chances.","i followed the line of the proposed railroad, looking for chances.","आई फालोड द लाइन अव द प्रपोज़्ड रेलरोड, लुकिंग फॉर चांसेज़.","아이 팔로우드 더 라인 어브 더 프로포즈드 레일로드, 루킹 포 찬시즈."
arctic_a0020,dev,Clubs and balls and cities grew to be only memories.,clubs and balls and cities grew to be only memories.,क्लब्स ऐंड बॉल्स ऐंड सिटीज़ ग्रो टू बी ओनली मेमोरीज़.,클럽즈 앤드 볼즈 앤드 시티즈 그루 투 비 온리 메모리즈.
arctic_a0021,train,It fairly clubbed me into recognizing it.,it fairly clubbed me into recognizing it.,इट फेरली क्लब्ड मी इंटु रेकग्नाइजिंग इट.,잇 페얼리 클럽드 미 인투 레커그나이징 잇.
arctic_a0022,train,Hardly were our plans made public before we were met by powerful opposition.,hardly were our plans made public before we were met by powerful opposition.,हार्डली वर आवर प्लैन्स मेड पब्लिक बिफोर वी वर मेट बाय पावरफुल ऑपोज़िशन.,하드리 워 아워 플랜즈 메이드 퍼블릭 비포어 위 워 메트 바이 파워풀 오퍼지션.
arctic_a0023,train,A combination of Canadian capital quickly organized and petitioned for the same privileges.,a combination of canadian capital quickly organized and petitioned for the same privileges.,अ कॉम्बिनेशन अव कनेडियन कैपिटल क्विकली ऑर्गनाइज़्ड ऐंड पेटीशन्ड फॉर द सेम प्रिविलेजेस.,아 컴비네이션 오브 캐네이디언 캐피털 퀵클리 오르가나이즈드 앤드 퍼티션드 포어 더 세임 프리빌리지즈.
arctic_a0024,test,It was my reports from the north which chiefly induced people to buy.,it was my reports from the north which chiefly induced people to buy.,इट वज माई रिपोर्ट्स फ्रम द नॉर्थ विच चीफली इंड्यूस्ट पीपल टू बाई.,잇 워즈 마이 리포츠 프럼 더 노스 위치 치플리 인듀스트 피플 투 바이.
arctic_a0025,dev,I was about to do this when cooler judgment prevailed.,i was about to do this when cooler judgment prevailed.,आई वस अबाउट टू डू दिस वेन कूलर जजमेंट प्रिवेल्ड.,아이 워즈 어바웃 투 두 디스 웬 쿨러 저지먼트 프리베일드.
